feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32
0.007713095572253224,-0.012789999850792811,-0.010379523842711933,-0.0010430951268062926,0.0017333333703572862,-0.008558571292378475,-0.012397857095347718,0.0007633334014099092,-0.006888809343799949,-0.0031323808908928184,-0.004627142818353604,-0.006199047592235729,-0.01610499981266912,-0.025106904212152586,-0.003118095027457457,0.0008983332008938305,-0.0029799999797251076,-0.020031904452189338,0.0004566666940809228,-0.004314761823916342,-0.010273095019801986,0.00897928576450795,-0.006472618944826536,-0.003027618849009741,0.006520476127043366,-0.012041428469819948,-0.007639047544798814,-0.009147142696310766,0.0037528570083668455,0.012074523732298986,0.0035428571177180857,0.013813095146033447,0.028326190348889214
-0.04265964211735991,-0.0011800000155926683,0.024655118658265564,-0.005828452450514305,-0.0003202381418668665,-0.019871547567890956,-0.017835595328651834,-0.014023095368756913,8.166639687260612e-05,-0.01303309517505113,-0.0052965474576922135,0.005876666523399763,0.0009814286135951989,0.017929999513726216,0.009638094947149511,0.0019424999457260128,-0.0040677380609849935,0.00040035756275756283,-0.0012414285508566536,-0.0020165475968678946,0.0015234526626591105,-0.002238095172215253,0.03543499925697688,0.007838214063376654,0.007951190675667021,0.01089583321387181,-0.008898809360980522,0.026721666067023763,-0.005756428469612729,0.0006638092442881316,0.005511428541503847,-0.005652976026321994,-0.015826190063089596
-0.06508630859549157,-0.011788094914809335,-0.001883095204248093,0.002498452360596275,0.007611428548698313,-0.0020192855873028747,-0.008846904628444462,-0.0010859523809631354,-0.007996547480288427,-0.006611428461328614,-0.0017232141918793785,-0.005229047540342435,-6.428573367884383e-05,-0.023179999712156132,-0.002739047389186453,-0.000849047584051732,-0.003781904684728943,-0.013767142645374406,0.001145118980202824,-0.006646428461244795,0.013575833228969714,-0.00039333332853857427,0.028228332687867806,-0.0036299999005859718,0.00017928587272763251,-0.013155118960421533,-0.0017876190069364385,-0.00854309508082224,-0.0028695238137152047,0.0036990474569029174,0.007129999816825148,-0.006381547437922563,-0.03170952313084854
-0.04300535678557935,0.019015277299095034,-0.00042023804038763044,0.004328849160174286,0.019562221800151748,-0.009231865159090375,-0.013148214332468343,-0.010826190466614207,-0.005278055438902811,-0.00965773816104047,-0.009577856986434199,-0.008711190315661952,0.0006552382130757906,-0.013464444212440868,-0.009506071368668927,-0.0005216666568594519,0.012754603074863553,-0.003290198190661613,0.0010890476556960494,-0.011495714250486344,0.010521508106430702,-0.007112261862057494,-0.006742341045683133,-0.00856392845569644,-0.0185386902767641,0.01591904765969957,0.005351071216937271,0.009161547474504914,-0.012556468083275832,-0.007145357131812489,0.01380984112398437,-0.00995095205886173,-0.031123451679304706
0.04636511888413224,0.0016660712318844163,0.032193332795868626,0.01414654728694586,0.014679047212412115,0.012421190418535843,0.008568452515173703,0.010234047428530174,0.012997142765671014,0.01261476186744403,0.014172142558090855,0.03789452335739043,0.011941190248035128,0.06291202281892766,0.020977856726385653,0.0107435711909784,0.0011439284635707736,0.02075773795164423,0.0012202381441602484,0.0041120237883296796,0.028790713861817495,0.015864047486393248,0.065831069600099,-0.00025833346939180046,0.016965118965599685,-0.010147023745521438,0.006808214116899762,0.0012792857055319473,0.00011190480407094583,0.02138892834307626,0.007100237954873591,0.036811666238645555,-0.010006785549630876
-0.018469285363971723,0.05498071292648092,0.04899654658715008,0.02578952355106594,0.0508459511314868,0.00773464274694561,0.004478095247759484,-0.0013295239352737554,0.0023435714869992808,0.0024573810066794975,0.02074357092002174,-0.00196571432024939,0.014930714198708301,0.000847619166597724,0.00011630942055489867,0.0073315475673007315,0.010510237913986203,0.012215476002020297,-0.0016290475361165591,0.003418571403599344,0.03799857112855534,0.003906666590337409,0.09817166423847085,0.013559404657862616,-0.006906904749921523,0.03203464251419064,0.002130000002507586,0.0003742856634198688,0.009572857057792135,-0.0075320237968117,0.025285237949574366,0.0022455952275777236,-0.012886904412589502
-0.04801999935269123,-0.00980166651221225,-0.0006169047974981368,-0.007115000002377201,0.0019354762983857653,-0.002163333265343681,-0.012930475961184129,-0.0024638094520196318,-0.004044047569623217,-0.0022516667010495438,0.00013380952208535746,-0.009399999876332004,-0.0003740474654478021,-0.02058595206181053,-0.0006847617996390909,0.0034707142392289823,-0.005638333314855117,0.012000237669271883,-0.0008530951783177443,-0.0013395237832446582,-0.010632380768074655,0.007939761825546156,-0.008483095052361023,-0.0013692856894340366,0.005069761998311151,-0.009676666586019565,-0.0016804761544335634,-0.006695476039894856,-0.002696428548952099,-0.0013411904207896441,-0.0022233333237818443,-0.018150952224386854,-0.02701785664568888
-0.01496309523616219,0.01051964278158266,0.0020614286011550577,0.010976547497848514,0.005385952430369798,0.02538047571462812,0.021469285526836756,0.029879761351039633,0.0008414285979233682,-0.003010952423210256,0.03461380901135271,0.009039047597907484,0.009464166536345147,0.0053451191022759305,0.007870714110904373,0.010555476121371612,0.008089404650963843,0.010101785463048145,0.0014104762236820535,0.0081838094824343,0.03703261844522785,0.011971190454787575,0.005748809509968851,0.011005714102066123,0.004427619002526626,0.03555142828408862,0.005899999941175338,0.025574761674215553,0.022107142535969616,0.002362976208969485,0.016860714200884103,0.041431665724958294,0.12911106843152084
-0.0472559916973114,-0.003670515763806179,-0.003171190402354114,-0.0025219046478741802,-0.005501904869161081,-0.0017933730030199513,-0.004624285487516318,-0.003398333279474173,-0.0023850395751651376,-0.009376428522518836,-0.0011080951697658747,-0.011203571379883214,-0.0015240474499296397,-0.02521047583752079,-0.011694047600030899,0.0010947618813952431,-0.0019952379996539095,-0.00769361097656656,-0.0020621427800506355,-0.005729285677371081,-0.005735952264803928,-0.004445714338799007,-0.004938372834585607,-0.0016983333710231818,-0.016548094990139362,0.01150571433157893,-0.0038378967432072387,-0.0038307142577832564,-0.014601111002557446,-0.006710476118314546,0.004664523867249954,-0.01213428539573215,-0.018564563163963613
-0.019546587323857237,0.024322817005559046,-0.0030989285158284476,0.008945396875715233,0.01866984108091856,-0.0017478571594983804,-0.0032946429107323636,-0.0073317857699294105,-0.004906944335816661,-0.012164801496692235,-0.0013610710730426944,-0.02294690448034089,-0.00542547605902655,-0.029638055264222203,-0.010645674493862316,0.0010066666560305747,0.01826103166298708,-0.01715551568689989,0.001584603194714873,0.006442857057263609,0.0076607142931243285,-0.0001985316426726058,0.0007932141837227392,0.003316349107917631,-0.016539642841817113,0.02386511907039676,0.009722976025623211,0.013010356923659856,-0.010302460274324403,-0.006227103185774467,0.03357047573495947,0.009759047090774402,0.08390051401031087
-0.043653690106875725,-0.002290238017885713,-0.0036336904285417405,-0.007832738006400178,-0.021475952077889816,-0.005440714221331291,0.004500237768806983,0.00023428568412782623,0.0030530951732362153,0.005440476150251925,-0.004397499994229293,-0.004213095236336812,0.001771666750428267,-0.007622142806649208,-0.007133452367561403,-0.018300595139880898,-0.003792142757738475,0.034640832631266674,0.015445118774077855,-0.002802142777654808,-0.009288571238721488,-0.016697142556658946,-0.001595595044491347,-0.007286785590986255,-0.015299166492477525,-0.01724119036094635,-0.0005435714322084095,-0.0016090474984957837,-0.0015928571196855046,-0.008601190289482474,-0.0038121427869191394,-0.010043571280839388,-0.026586785250110552
